"intervention","propagation","rule","district","deltaPriority","deltaAccessConcentration","deltaPressureConcentration","deltaHighPopulation"
"new_facility","true","Máxima prioridad","Salaverry","-0.003430701245132256","0.0006909516377135994","0.000905562499349033","0"
"new_facility","true","Máxima presión","Poroto","-0.000999976141813047","-0.0028550019644273394","-0.003051324746373041","0"
"new_facility","true","Máxima demanda","Trujillo","-0.027737828569206868","0.1906036261957902","-0.0017388179189172792","0"
"new_facility","true","Máxima población","Trujillo","-0.027737828569206868","0.1906036261957902","-0.0017388179189172792","0"
"new_facility","true","Óptimo ex post","Trujillo","-0.027737828569206868","0.1906036261957902","-0.0017388179189172792","0"
"new_facility","true","Aleatoria (esperanza exacta)","todos","-0.013711317705337244","0.002512848821202884","0.0007053581102432372","0"
"new_facility","false","Máxima prioridad","Salaverry","-0.0025120373389461714","0.0006909516377135994","0.00014960090923676894","0"
"new_facility","false","Máxima presión","Poroto","-0.0004987951615596786","-0.0028550019644273394","-0.0033082510695181533","0"
"new_facility","false","Máxima demanda","Trujillo","-0.01908559522200043","0.1906036261957902","0.01225912274898211","0"
"new_facility","false","Máxima población","Trujillo","-0.01908559522200043","0.1906036261957902","0.01225912274898211","0"
"new_facility","false","Óptimo ex post","La Esperanza","-0.019826948617418072","-0.07150766357320493","-0.020973454188631502","0"
"new_facility","false","Aleatoria (esperanza exacta)","todos","-0.008042499383663498","0.002512848821202884","-0.004418765825375382","0"
"expand_capacity","true","Máxima prioridad","Salaverry","-0.00251723312187907","0.00022739856262798952","0.0008088953708311752","0"
"expand_capacity","true","Máxima presión","Poroto","-0.0007862067868589229","-0.0009497958409898644","-0.0008324352928950063","0"
"expand_capacity","true","Máxima demanda","Trujillo","-0.027737828569206868","0.06848242039679286","0.047609039640450934","0"
"expand_capacity","true","Máxima población","Trujillo","-0.027737828569206868","0.06848242039679286","0.047609039640450934","0"
"expand_capacity","true","Óptimo ex post","Trujillo","-0.027737828569206868","0.06848242039679286","0.047609039640450934","0"
"expand_capacity","true","Aleatoria (esperanza exacta)","todos","-0.011464115077755594","0.0011914209412833277","0.00552890176889208","0"
"expand_capacity","false","Máxima prioridad","Salaverry","-0.0015985692156930131","0.00022739856262798952","0.00006065074789396441","0"
"expand_capacity","false","Máxima presión","Poroto","-0.00028502580660555443","-0.0009497958409898644","-0.0010959753547483686","0"
"expand_capacity","false","Máxima demanda","Trujillo","-0.01908559522200043","0.06848242039679286","0.060271952959858544","0"
"expand_capacity","false","Máxima población","Trujillo","-0.01908559522200043","0.06848242039679286","0.060271952959858544","0"
"expand_capacity","false","Óptimo ex post","Trujillo","-0.01908559522200043","0.06848242039679286","0.060271952959858544","0"
"expand_capacity","false","Aleatoria (esperanza exacta)","todos","-0.0057952967560818466","0.0011914209412833277","0.0002814668423606004","0"
"improve_access","true","Máxima prioridad","Salaverry","-0.0009134681232531305","0.0005012055167947782","0.00022904677188440026","0"
"improve_access","true","Máxima presión","Poroto","-0.0001781411291284507","-0.0020801071894693823","0.00006494402812062816","0"
"improve_access","true","Máxima demanda","Trujillo","-0.018001823825845836","0.16911030289177176","-0.0037794658704874973","0"
"improve_access","true","Máxima población","Trujillo","-0.018001823825845836","0.16911030289177176","-0.0037794658704874973","0"
"improve_access","true","Óptimo ex post","Trujillo","-0.018001823825845836","0.16911030289177176","-0.0037794658704874973","0"
"improve_access","true","Aleatoria (esperanza exacta)","todos","-0.005331255020160167","0.004185223815902961","0.0015783533519247994","0"
"improve_access","false","Máxima prioridad","Salaverry","-0.0009134681232531305","0.0005012055167947782","0.0000013425203913008943","0"
"improve_access","false","Máxima presión","Poroto","-0.0001781411291284507","-0.0020801071894693823","-0.00001695022691383663","0"
"improve_access","false","Máxima demanda","Trujillo","-0.015904662685000348","0.16911030289177176","0.00048181674355918247","0"
"improve_access","false","Máxima población","Trujillo","-0.015904662685000348","0.16911030289177176","0.00048181674355918247","0"
"improve_access","false","Óptimo ex post","Trujillo","-0.015904662685000348","0.16911030289177176","0.00048181674355918247","0"
"improve_access","false","Aleatoria (esperanza exacta)","todos","-0.0043977469035166","0.004185223815902961","0.0000343179398880622","0"
